Отбор...;
149;51,4751567
150;52,72634814
151;52,10302143
152;52,51947425
153;51,56810359
154;50,73365504
155;52,40186448
156;52,20111969
157;50,89854621
158;52,25530824
159;52,69284937
160;53,62427905
161;53,19786274
162;51,64585727
163;52,11215378
164;52,50409157
165;51,76132832
166;51,63647931
167;54,39195581
168;52,30562872
169;53,13965486
170;52,93003836
171;51,2522722
172;51,13830666
173;51,83503125
174;53,25267342
175;51,09971664
176;53,54917146
177;52,0022108
178;51,50696564
179;52,27423621
180;51,19470462
181;52,2955679
182;52,4156948
183;52,55348234
184;52,85470251
185;49,67774765
186;50,76485543
187;52,59749177
188;51,88856105
189;50,72612012
190;52,91754189
191;52,99679593
192;52,21269192
193;51,88184899
194;52,92824659
195;52,45200951
196;53,16946737
197;52,6659522
198;51,54946901
199;51,97559598
200;52,21941347
Population 14;
Отбор лучших...;
Скрещивание...;
101;53,13446285
102;52,62074208
103;51,99921837
104;52,11385403
105;53,26322253
106;52,52427101
107;52,60064167
108;50,50739009
109;50,72530408
110;52,88391676
111;52,09202056
112;51,31150305
113;52,18084951
114;53,00422655
115;50,46898357
116;50,29819837
117;53,2681157
118;51,79919341
119;52,60024264
120;51,57589816
121;53,66592148
122;52,40856387
123;51,61582279
124;52,84784861
125;52,9734153
126;53,20138611
127;52,59911777
128;51,99312956
129;50,82437025
130;51,32983036
131;51,36669296
132;53,50924961
133;53,1333448
134;52,22202181
135;51,73905431
136;52,43072669
137;51,25195836
138;52,81332817
139;51,9434123
140;51,20579964
141;51,51404155
142;51,70468805
143;51,30389779
144;52,65821043
145;53,43093582
146;52,7017675
147;53,90438146
148;51,00330865
149;51,14550168
150;52,68904263
151;52,62614372
152;52,00029775
153;52,45954123
154;53,50148687
155;51,80735102
156;52,66246846
157;52,65914237
158;52,95038268
159;52,53237395
160;52,75606563
161;51,30399803
162;50,98856757
163;50,69374783
164;52,34575333
165;51,06129367
166;51,02882882
167;52,42213756
168;52,78272177
169;50,5951595
170;53,33314166
171;50,80075598
172;51,19592019
173;50,37729018
174;53,06780394
175;49,34606254
176;52,25489316
177;51,61538046
178;51,76369426
179;52,04600548
180;50,73448804
181;51,23096021
182;51,44519493
183;52,78608564
184;52,60962626
185;53,72076252
186;52,34744006
187;51,59889615
188;50,63065699
189;52,48135898
190;51,44266053
191;52,10607262
192;52,0744369
193;53,26154831
194;53,7729409
195;51,84920689
196;52,44515732
197;52,29846389
198;52,57968255
199;51,591876
200;51,6347341
Population 15;
Отбор лучших...;
Скрещивание...;
101;52,07803726
102;52,72882037
103;50,18995227
104;54,14266972
105;50,91742587
106;52,51066601
107;52,65329243
108;50,16563462
109;51,40570599
110;52,20025974
111;52,2306904
112;51,64287658
113;52,2808899
114;53,50333723
115;53,45188253
116;51,87555388
117;51,60141673
118;53,31447133
119;51,36493353
120;50,44520625
121;51,2112948
122;53,65578934
123;53,77991736
124;52,16555275
125;52,63666418
126;53,11617276
127;50,87601423
128;52,13005896
129;52,14509952
130;50,393058
131;52,54636765
132;54,21489719
133;52,34605259
134;53,26739065
135;51,78071034
136;51,49973501
137;50,47283243
138;51,5880055
139;51,81746247
140;52,36443513
141;52,2964458
142;51,06292316
143;51,65501454
144;53,27734253
145;50,98070243
146;51,48593399
147;52,19119991
148;51,68516148
149;52,0677039
150;53,06490548
151;50,68670121
